"word","wordLen","urlcount","totalcount","adjFreq","deleted","whyDeleted","Rank","corrected","english"
"01sx",4,1,1,2,1,"Number",1545,,0
"01t",3,1,1,2,1,"Number",1545,,0
"01titleshotofmoviemaker",23,1,1,2,1,"Number",1545,,0
"01v",3,2,2,4,1,"Number",1544,,0
"01x",3,1,1,2,1,"Number",1545,,0
"01y",3,1,1,2,1,"Number",1545,,0
"01z",3,1,1,2,1,"Number",1545,,0
"02",2,1364,3617,133634,1,"Number",198,,0
"020",3,23,25,123,1,"Number",1521,,0
"0200",4,31,31,176,1,"Number",1515,,0
"021",3,3,5,11,1,"Number",1541,,0
"021b58dbc9a4",12,1,1,2,1,"Number",1545,,0
"022",3,2,2,4,1,"Number",1544,,0
"023",3,4,4,10,1,"Number",1542,,0
"024",3,4,4,10,1,"Number",1542,,0
"0241",4,1,1,2,1,"Number",1545,,0
"0245",4,1,1,2,1,"Number",1545,,0
"0249",4,1,1,2,1,"Number",1545,,0
"025",3,4,4,10,1,"Number",1542,,0
"026",3,1,1,2,1,"Number",1545,,0
"027",3,21,21,99,1,"Number",1525,,0
"0270",4,31,31,176,1,"Number",1515,,0
"028",3,3,3,7,1,"Number",1543,,0
"029",3,22,39,188,1,"Number",1507,,0
"02f",3,1,1,2,1,"Number",1545,,0
"03",2,1089,3804,125591,1,"Number",188,,0
"030",3,25,25,128,1,"Number",1521,,0
"0308",4,1,1,2,1,"Number",1545,,0
"031",3,4,4,10,1,"Number",1542,,0
"0314",4,1,1,2,1,"Number",1545,,0
"0315",4,1,1,2,1,"Number",1545,,0
"0317",4,1,1,2,1,"Number",1545,,0
"032",3,2,2,4,1,"Number",1544,,0
"033",3,16,30,125,1,"Number",1516,,0
"0339",4,1,2,4,1,"Number",1544,,0
"034",3,17,17,73,1,"Number",1529,,0
"0340",4,1,1,2,1,"Number",1545,,0
"035",3,23,26,128,1,"Number",1520,,0
"036",3,1,1,2,1,"Number",1545,,0
"037",3,21,40,189,1,"Number",1506,,0
"038",3,23,23,114,1,"Number",1523,,0
"039",3,4,7,17,1,"Number",1539,,0
"0399",4,1,1,2,1,"Number",1545,,0
"03f6aefac6f8",12,1,1,2,1,"Number",1545,,0
"03s",3,1,1,2,1,"Number",1545,,0
"04",2,979,5411,169392,1,"Number",124,,0
"040",3,20,21,97,1,"Number",1525,,0
"0403",4,1,1,2,1,"Number",1545,,0
"040310",6,1,1,2,1,"Number",1545,,0
"0404",4,1,1,2,1,"Number",1545,,0
"040420081400ss2",15,1,1,2,1,"Number",1545,,0
"041",3,2,3,6,1,"Number",1543,,0
"0413",4,1,1,2,1,"Number",1545,,0
"04178",5,1,1,2,1,"Number",1545,,0
"042",3,2,2,4,1,"Number",1544,,0
"043",3,6,6,17,1,"Number",1540,,0
"04338361",8,1,1,2,1,"Number",1545,,0
"044",3,5,5,13,1,"Number",1541,,0
"044393b2imagemelri",18,2,2,4,1,"Number",1544,,0
"04439582",8,1,1,2,1,"Number",1545,,0
"0448",4,1,1,2,1,"Number",1545,,0
"045",3,4,4,10,1,"Number",1542,,0
"0455",4,1,1,2,1,"Number",1545,,0
"046",3,6,6,17,1,"Number",1540,,0
"047",3,3,3,7,1,"Number",1543,,0
"0471",4,1,1,2,1,"Number",1545,,0
"0473",4,1,1,2,1,"Number",1545,,0
"048",3,3,3,7,1,"Number",1543,,0
"0486",4,1,1,2,1,"Number",1545,,0
"049",3,1,1,2,1,"Number",1545,,0
"0490",4,1,1,2,1,"Number",1545,,0
"04927054",8,1,1,2,1,"Number",1545,,0
"0493",4,1,1,2,1,"Number",1545,,0
"04986007",8,1,1,2,1,"Number",1545,,0
"05",2,1815,7537,321187,1,"Number",74,,0
"050",3,24,25,126,1,"Number",1521,,0
"0500",4,31,31,176,1,"Number",1515,,0
"05006154",8,1,1,2,1,"Number",1545,,0
"0501",4,1,1,2,1,"Number",1545,,0
"0504",4,1,1,2,1,"Number",1545,,0
"051",3,3,4,9,1,"Number",1542,,0
"0517",4,1,1,2,1,"Number",1545,,0
"052",3,2,2,4,1,"Number",1544,,0
"053",3,6,6,17,1,"Number",1540,,0
"0530",4,1,1,2,1,"Number",1545,,0
"0531",4,1,1,2,1,"Number",1545,,0
"0532",4,1,1,2,1,"Number",1545,,0
"054",3,19,19,86,1,"Number",1527,,0
"0549",4,1,1,2,1,"Number",1545,,0
"055",3,1,1,2,1,"Number",1545,,0
"056",3,250,252,3993,1,"Number",1294,,0
"057",3,2,2,4,1,"Number",1544,,0
"0580",4,1,1,2,1,"Number",1545,,0
"0581",4,1,1,2,1,"Number",1545,,0
"0582",4,1,1,2,1,"Number",1545,,0
"0583",4,1,1,2,1,"Number",1545,,0
"0584",4,1,1,2,1,"Number",1545,,0
"05849053",8,1,1,2,1,"Number",1545,,0
"05871067",8,1,1,2,1,"Number",1545,,0
"05887026",8,1,1,2,1,"Number",1545,,0
"059",3,1,1,2,1,"Number",1545,,0
"05900010",8,1,1,2,1,"Number",1545,,0
"0592",4,1,1,2,1,"Number",1545,,0
"0599",4,1,1,2,1,"Number",1545,,0
"05h",3,1,1,2,1,"Number",1545,,0
"05h07",5,1,1,2,1,"Number",1545,,0
"05v",3,1,1,2,1,"Number",1545,,0
"06",2,829,2440,70297,1,"Number",303,,0
"060",3,22,23,111,1,"Number",1523,,0
"0600",4,1,1,2,1,"Number",1545,,0
"0600ff",6,1,1,2,1,"Number",1545,,0
"061",3,1,1,2,1,"Number",1545,,0
"0612",4,1,1,2,1,"Number",1545,,0
"062",3,1,1,2,1,"Number",1545,,0
"063",3,2,2,4,1,"Number",1544,,0
"0631",4,3,7,15,1,"Number",1539,,0
"0634",4,1,1,2,1,"Number",1545,,0
"0637",4,1,1,2,1,"Number",1545,,0
"0638",4,1,1,2,1,"Number",1545,,0
"0639",4,1,1,2,1,"Number",1545,,0
"064",3,6,7,20,1,"Number",1539,,0
"0646",4,1,1,2,1,"Number",1545,,0
"0651",4,1,1,2,1,"Number",1545,,0
"0652",4,1,1,2,1,"Number",1545,,0
"066",3,1,1,2,1,"Number",1545,,0
"067",3,22,26,126,1,"Number",1520,,0
"0674",4,1,1,2,1,"Number",1545,,0
"068",3,3,3,7,1,"Number",1543,,0
"0682",4,1,1,2,1,"Number",1545,,0
"0689",4,1,1,2,1,"Number",1545,,0
"069",3,1,1,2,1,"Number",1545,,0
"0693",4,1,1,2,1,"Number",1545,,0
"06a",3,1,3,5,1,"Number",1543,,0
"06ghz",5,3,4,9,1,"Number",1542,,0
"07",2,1101,4552,151111,1,"Number",150,,0
"070",3,3,3,7,1,"Number",1543,,0
"0700",4,31,31,176,1,"Number",1515,,0
"071",3,5,5,13,1,"Number",1541,,0
"0713kt0n7",9,1,2,4,1,"Number",1544,,0
"072",3,2,2,4,1,"Number",1544,,0
"0727",4,1,1,2,1,"Number",1545,,0
"07281",5,1,3,5,1,"Number",1543,,0
"0729",4,1,1,2,1,"Number",1545,,0
"12028",5,1,1,2,1,"Number",1545,,0
"1203",4,2,2,4,1,"Number",1544,,0
"1204",4,2,2,4,1,"Number",1544,,0
"1205",4,1,1,2,1,"Number",1545,,0
"12053",5,4,4,10,1,"Number",1542,,0
"1207",4,1,1,2,1,"Number",1545,,0
"12079",5,1,1,2,1,"Number",1545,,0
"1208",4,2,2,4,1,"Number",1544,,0
"120966",6,1,1,2,1,"Number",1545,,0
"120g",4,2,2,4,1,"Number",1544,,0
"120gb",5,3,3,7,1,"Number",1543,,0
"120gr",5,1,1,2,1,"Number",1545,,0
"120hz",5,4,8,19,1,"Number",1538,,0
"120mm",5,5,8,21,1,"Number",1538,,0
"120p",4,1,1,2,1,"Number",1545,,0
"120px",5,1,7,11,1,"Number",1539,,0
"120x40",6,1,1,2,1,"Number",1545,,0
"120x600",7,1,1,2,1,"Number",1545,,0
"121",3,60,68,532,1,"Number",1478,,0
"1210",4,1,1,2,1,"Number",1545,,0
"121041",6,2,2,4,1,"Number",1544,,0
"1211",4,1,1,2,1,"Number",1545,,0
"12138",5,1,1,2,1,"Number",1545,,0
"12140",5,1,1,2,1,"Number",1545,,0
"121517",6,1,1,2,1,"Number",1545,,0
"121571",6,1,1,2,1,"Number",1545,,0
"121576",6,2,2,4,1,"Number",1544,,0
"12172",5,1,1,2,1,"Number",1545,,0
"121729",6,2,2,4,1,"Number",1544,,0
"12181",5,1,1,2,1,"Number",1545,,0
"12183",5,4,4,10,1,"Number",1542,,0
"12187",5,4,4,10,1,"Number",1542,,0
"12188",5,7,7,21,1,"Number",1539,,0
"121898",6,1,1,2,1,"Number",1545,,0
"1219",4,1,1,2,1,"Number",1545,,0
"121913",6,1,1,2,1,"Number",1545,,0
"12193",5,3,3,7,1,"Number",1543,,0
"121p",4,1,1,2,1,"Number",1545,,0
"121px",5,3,5,11,1,"Number",1541,,0
"122",3,47,68,472,1,"Number",1478,,0
"1221",4,2,2,4,1,"Number",1544,,0
"122138",6,1,1,2,1,"Number",1545,,0
"12214b",6,1,1,2,1,"Number",1545,,0
"12226",5,2,2,4,1,"Number",1544,,0
"12246",5,1,1,2,1,"Number",1545,,0
"1225",4,1,1,2,1,"Number",1545,,0
"122528",6,1,1,2,1,"Number",1545,,0
"1226",4,1,1,2,1,"Number",1545,,0
"1227",4,1,1,2,1,"Number",1545,,0
"122760091",9,1,2,4,1,"Number",1544,,0
"1228",4,1,1,2,1,"Number",1545,,0
"1229",4,1,1,2,1,"Number",1545,,0
"12294",5,2,2,4,1,"Number",1544,,0
"12297",5,1,1,2,1,"Number",1545,,0
"122cm",5,1,1,2,1,"Number",1545,,0
"122px",5,1,2,4,1,"Number",1544,,0
"123",3,44,54,363,1,"Number",1492,,0
"12301",5,4,4,10,1,"Number",1542,,0
"12304",5,57,57,435,1,"Number",1489,,0
"12305",5,4,4,10,1,"Number",1542,,0
"12307",5,10,10,34,1,"Number",1536,,0
"1231",4,1,2,4,1,"Number",1544,,0
"12314",5,1,1,2,1,"Number",1545,,0
"12317",5,4,4,10,1,"Number",1542,,0
"1232041600",10,1,1,2,1,"Number",1545,,0
"1232228844",10,1,1,2,1,"Number",1545,,0
"1232228979",10,1,1,2,1,"Number",1545,,0
"1233",4,1,1,2,1,"Number",1545,,0
"1234",4,5,5,13,1,"Number",1541,,0
"12345",5,11,14,49,1,"Number",1532,,0
"123456",6,1,1,2,1,"Number",1545,,0
"1238",4,1,1,2,1,"Number",1545,,0
"123895",6,1,1,2,1,"Number",1545,,0
"1239377148",10,1,1,2,1,"Number",1545,,0
"124",3,33,38,223,1,"Number",1508,,0
"1240",4,1,1,2,1,"Number",1545,,0
"1241",4,2,2,4,1,"Number",1544,,0
"1242",4,2,2,4,1,"Number",1544,,0
"1245139052",10,1,1,2,1,"Number",1545,,0
"1245139063",10,1,1,2,1,"Number",1545,,0
"1246",4,2,2,4,1,"Number",1544,,0
"12467",5,1,1,2,1,"Number",1545,,0
"1247719180445",13,1,1,2,1,"Number",1545,,0
"1248",4,2,2,4,1,"Number",1544,,0
"124f",4,1,1,2,1,"Number",1545,,0
"125",3,39,44,279,1,"Number",1502,,0
"1250",4,5,5,13,1,"Number",1541,,0
"12500",5,1,1,2,1,"Number",1545,,0
"1251",4,2,2,4,1,"Number",1544,,0
"1252",4,4,4,10,1,"Number",1542,,0
"12529",5,1,1,2,1,"Number",1545,,0
"12537",5,1,1,2,1,"Number",1545,,0
"1255",4,2,2,4,1,"Number",1544,,0
"1256",4,1,1,2,1,"Number",1545,,0
"12564",5,1,1,2,1,"Number",1545,,0
"1257",4,1,1,2,1,"Number",1545,,0
"1258",4,1,1,2,1,"Number",1545,,0
"12594",5,1,1,2,1,"Number",1545,,0
"1259973683",10,1,1,2,1,"Number",1545,,0
"125cc",5,3,3,7,1,"Number",1543,,0
"125gp",5,1,1,2,1,"Number",1545,,0
"125p",4,1,1,2,1,"Number",1545,,0
"125pts",6,434,456,9512,1,"Number",1092,,0
"125px",5,1,2,4,1,"Number",1544,,0
"126",3,24,29,146,1,"Number",1517,,0
"1260",4,34,34,202,1,"Number",1512,,0
"126185",6,2,2,4,1,"Number",1544,,0
"1262",4,2,2,4,1,"Number",1544,,0
"1262708999",10,1,1,2,1,"Number",1545,,0
